,imodulon_size,explained_variance
0,8.0,0.01152418296816815
1,85.0,0.20118440416738237
2,61.0,0.017776937983531194
3,28.0,0.008217663001924058
4,2.0,0.0035894560519157404
5,23.0,0.012561221670024159
6,98.0,0.09463796520885304
7,8.0,0.013222557991891759
8,12.0,0.01973646437460086
9,29.0,0.052285141472703356
10,71.0,0.006408546187165132
11,119.0,0.0038628591006886204
12,82.0,0.058486926053721855
13,81.0,0.019771314504762993
14,150.0,0.1190440907865642
15,3.0,0.0017396782789974585
16,233.0,0.09494310582104148
17,106.0,0.004451218727183237
18,167.0,0.010121514630925033
