Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX2826866	29798528.0	1609043.0	27047103.0	641856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	450817.0	47766.0	1943.0	5.399739879768558	29798528.0	29156672.0	97.85	641856.0	2.15	ERX2826866_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29798528.0	0.0	20-36	50.0	4.625578364979591	35.51876156432962	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	30638434	9126698	30638434	1102983624	19502644	1061534144	3.757941559429717	0.0091	0.1336	0.8573		
ERX2826867	22068856.0	1151833.0	20215893.0	427488.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239714.0	32457.0	1471.0	5.219269181873315	22068856.0	21641368.0	98.06	427488.0	1.94	ERX2826867_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22068856.0	0.0	20-36	50.0	4.715281691420529	35.52935113628001	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	22656098	6709635	22656098	815619528	13211288	786180259	3.6094365067728	0.0057	0.1212	0.8731		
ERX2826868	31724182.0	1431778.0	29283679.0	622034.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	344528.0	39942.0	2221.0	4.513206991436375	31724182.0	31102148.0	98.04	622034.0	1.96	ERX2826868_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31724182.0	0.0	20-36	50.0	4.120913453976802	35.5318228220983	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	32478843	9354296	32478843	1169238348	19865856	1130443910	3.317923849004652	0.0059	0.1192	0.8749		
ERX2826869	11597098.0	515727.0	10758046.0	209980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96384.0	16114.0	847.0	4.44703493925808	11597098.0	11387118.0	98.19	209980.0	1.81	ERX2826869_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11597098.0	0.0	20-36	50.0	5.796760787093839	35.51947357864873	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	11782840	3498747	11782840	424182240	6387003	412995967	2.6371384619969	0.0042	0.1877	0.8082		
ERX2826870	23557346.0	992285.0	21878471.0	465173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189437.0	30261.0	1719.0	4.212210492642083	23557346.0	23092173.0	98.03	465173.0	1.97	ERX2826870_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23557346.0	0.0	20-36	50.0	4.563201754816491	35.52253038181805	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	23993238	7024151	23993238	863756568	14771415	839218610	2.840841842374274	0.0041	0.1266	0.8693		
ERX4581838	20512412.0	973839.0	18824753.0	413387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262915.0	36035.0	1483.0	4.747559672650881	20512412.0	20099025.0	97.98	413387.0	2.02	ERX4581838_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20512412.0	0.0	20-36	50.0	5.127010132093336	35.52282037821783	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	20874499	6086679	20874499	751481964	12674626	730732383	2.7611548904718624	0.0071	0.1411	0.8518		
ERX4581839	16166368.0	745583.0	14990489.0	206357.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193662.0	28939.0	1338.0	4.611938810251011	16166368.0	15960011.0	98.72	206357.0	1.28	ERX4581839_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16166368.0	0.0	20-36	50.0	4.132125444030781	35.56696049477532	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	16338302	4854766	16338302	588178872	5349931	575878840	2.091206023462876	0.0069	0.1254	0.8677		
ERX4581840	16778532.0	821700.0	15508990.0	211712.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201874.0	33017.0	1239.0	4.897329516074469	16778532.0	16566820.0	98.74	211712.0	1.26	ERX4581840_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16778532.0	0.0	20-36	50.0	4.327650332932738	35.56735720383642	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	16943706	4984707	16943706	609973416	5464576	597663146	2.018165001472785	0.0065	0.1302	0.8633		
ERX4581841	45672238.0	1342168.0	34554285.0	9353196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343626.0	76864.0	2099.0	2.9386954937483027	45672238.0	36319042.0	79.52	9353196.0	20.48	ERX4581841_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45672238.0	0.0	20-36	49.0	13.313313742892424	35.30316486790071	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2.6	49374756	14235183	49374756	1777491216	131106054	1627781661	8.422520103187953	0.0043	0.4962	0.4995		
ERX4581842	16840407.0	525985.0	12832976.0	3267102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186491.0	26869.0	984.0	3.1233508786337527	16840407.0	13573305.0	80.6	3267102.0	19.4	ERX4581842_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16840407.0	0.0	20-36	49.0	16.068397508705846	35.30622145889942	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	17923137	5381302	17923137	645232932	38647534	599343178	7.11212210724545	0.0076	0.4493	0.5431		
