Geneid,ERX4581842,ERX4581846,ERX4581839,ERX4581843,ERX4581847,ERX4581840,ERX4581848,ERX4581841,ERX4581845,ERX4581850,ERX4581854,ERX4581858,ERX4581855,ERX4581851,ERX4581859,ERX4581852,ERX4581856,ERX4581860,ERX4581853,ERX4581857,ERX4581861,ERX7722950,ERX7722951,ERX7722953,ERX7722954,ERX7722955,SRX10828565,SRX10828566,SRX13376825,SRX13376826,SRX13376837,SRX13376838,SRX13376839,SRX13376840,SRX13376841,SRX13376843,SRX13376844,SRX13376845,SRX2656779,SRX2656780,SRX2656781,SRX2656782,SRX2656783,SRX2656784,SRX3343296,SRX3343297,SRX3343298,SRX3353470,SRX3353471,SRX3353474,SRX3353475,SRX4965409,SRX4965411,SRX4965412,SRX5029495,SRX5029496,SRX529234,SRX529235,SRX529236,SRX529237,SRX529238,SRX529239,SRX529240,SRX529241,SRX5562272,SRX5562273,SRX5562274,SRX5562275,SRX9633997,SRX9633998,SRX9633999,SRX9634004,SRX9634005,SRX9634006,SRX9634007
SAOUHSC_00001,8.547181601361425,8.208979981019155,8.50263181102481,8.272871685992286,8.263048901389473,8.848564984307375,8.854707211871478,8.70373909788606,8.519674994251114,8.427281617775883,8.424597558237448,8.387832294494885,8.62041125933285,8.366924424723553,8.333769424205096,8.685120340879951,8.364990877326484,8.466042056917901,8.505464512529672,8.584244296618385,8.426827265851651,8.55521591364153,8.099699281798205,8.093495303718436,8.156868814651292,8.00260115078134,9.449135017264716,9.476362323540542,8.972127866772613,8.939417506622448,8.695933184417203,8.702983112654183,9.035334582309416,8.973406862549092,8.91677031605946,8.715468422307646,8.746010382725384,8.650500494335017,8.515866514138715,8.586180262345115,7.958053457945345,8.002962965730395,7.900287840835129,8.794756198504881,8.037676179387123,8.169385514026537,8.208122067246881,8.603638509067373,8.514994031282063,9.914596455903542,9.863170335880143,8.743272855596686,8.623581085071223,7.896448851826558,8.790067519944675,7.908868110307458,9.326972116220006,9.41310905797691,9.435754502037408,8.677970539971701,9.291598558725743,8.821825836832328,9.392038697030308,9.304430750507992,9.296167969059052,9.501123155290358,8.741548957444103,9.157859776710035,8.570178068577201,8.168952653355284,8.556411224317133,8.434535521267257,8.511854860158785,8.57555053489556,8.807802678264803
SAOUHSC_00002,7.871285911781026,7.564352990258827,8.565693591292098,7.896738371907924,8.732867469456941,9.07111578778076,9.050122480935595,8.146558827563936,8.144938284797771,8.580133890805095,9.267221706668415,9.03008045702698,8.886082420840307,8.812101859864297,8.895235235807148,8.636460718859237,8.882998044852405,8.990918314289802,9.272145473189155,8.969602261928229,8.847799364896598,8.69332702259269,8.727295227438535,8.71539685504005,8.60872919502082,8.659742353340116,9.481801962922988,9.51551947441204,8.831935725385483,8.53290840173251,8.667923795502405,8.24428235515012,9.018181176645545,8.636578481846168,8.938565425654657,9.78568398692498,9.844429475928342,9.749996825838965,8.958591616920437,9.035826319006032,8.316131109543742,8.392087496411403,8.263057517527743,8.968332403961668,8.386564503202381,8.66372404743099,8.677595088261372,9.132400104328788,8.993032472703428,10.352435496198389,10.338977231396331,8.576083274735321,8.409677787189759,7.696743211649641,8.592763960788762,7.701711562231909,9.575305131359386,9.490052382914678,9.484850892934489,8.96992268594196,9.38740959543551,9.232261905773054,9.430897692222528,9.45300461725991,9.56576808015159,9.46777937572802,8.987626714453354,9.350977242123422,8.84261740175457,8.72931494977013,8.919129622199108,8.908344735429493,9.024092289215114,9.102541988985088,9.310109490799215
SAOUHSC_00003,8.736153914091272,8.80026476685961,9.26534355734034,9.06970510874863,8.798457478386625,8.67362481552463,8.65896103857188,7.896399586246074,8.335938428911861,8.267414106988443,9.059971929348842,8.82063271640344,9.282683645835194,8.550306473203722,8.971815960197514,8.34532830348991,8.892814301421463,9.088040241219376,9.394095255837636,9.070515385324002,8.963865573340385,9.26610692430476,9.05343837389667,8.981313547655859,8.964033445579302,9.188735756151855,8.41514990453547,8.533791347530336,9.118447653341216,9.146787640218443,8.445114519107277,8.180291173779233,8.745852068953624,8.503749783808118,8.442566034144047,9.098096240901867,9.10163156901088,9.190082304033949,8.240488978416014,8.768541996985961,8.364651959786347,8.190216548405603,8.291449072599905,8.89191861197493,7.821470328271832,8.059747527123198,8.049247383896803,8.060222267989241,8.345856275606584,9.8753941071314,9.787929325185685,8.27940111845249,8.088479960366964,7.75715686112064,8.284972395203429,8.07077494418113,8.618735934055525,8.531060609080376,8.498207325627908,8.302990163538523,8.62099528474458,7.553073236990782,8.641905535745412,8.894682994305994,8.628255046317763,8.497916590446216,7.9894583980642,8.181355821255488,8.022963942973213,7.954930163020493,7.806981199890346,8.490745802145822,8.527418031689093,8.931365907971854,9.102894806118032
SAOUHSC_00004,9.231359033624152,8.78466091422168,8.936725097326558,9.33841106915414,8.713377643724769,8.549768442250937,8.499229269891982,8.675876388937906,8.526049618777261,8.802481423104528,8.958721225531184,8.550955628136933,8.887052206519527,8.97463427014103,9.013075820939711,8.842306439771335,8.744589988381355,8.825296048008394,9.052420830591789,8.960303837115065,8.529842065404077,8.986438421265392,8.779853396511495,8.826996720903729,8.850450254871715,8.695287234291634,8.76902499408696,8.951087726405436,8.667531108885933,8.686171892651245,8.480284894809815,8.366640930398239,8.727370720205787,8.69820093937673,8.72353852597733,9.404182862355697,9.592026673856656,9.516741583711951,8.080241360628618,8.551168820185303,8.576174092152685,8.654019873271237,8.666792974664277,9.113738059606243,8.368179094457131,8.527747345939861,8.403260136025086,8.684085655816007,8.781036945208818,10.193188772248288,9.95398273170412,8.603127404538574,8.306484391132306,8.162936790641513,8.642921284441748,8.419162023227585,8.598385642785917,8.490112374567582,8.608258349771855,8.28238902006614,8.626801767645828,9.230630699601862,8.814599348896131,8.884135164086803,8.642021963008936,8.524059476390779,8.063425319792966,8.442029191474425,7.840488512827672,7.666905659075277,7.569949177435605,8.367421223111165,8.496620642166691,8.752904951030509,9.03822696681078
SAOUHSC_00005,9.830493386652492,9.291133040793053,9.352144569092872,9.89700812513589,8.955434846228828,8.959913298911031,8.879248326647476,9.444958188171151,9.268588126947249,9.233012226752525,9.156143795875757,8.975907009089065,9.227866549420412,9.398415517227656,9.493041516680474,9.305082298716224,9.127481487464363,9.470010890027575,9.12772775931636,9.424337904698245,9.136875075298729,9.452366997159498,9.017044623047452,9.32981425155236,9.370046644592556,9.086521713053315,9.02011853124684,9.213433169591257,7.64960296921247,7.805710673232726,9.102374969406505,8.985688049233392,9.34456410510787,9.274773056882609,9.24102300640935,8.85557975556662,8.90096460815792,9.136858065377853,8.95114828718032,9.005854326062154,8.935341797679524,8.99224792652874,8.94066481538009,9.43151822847628,8.683316061326607,8.76358620039656,8.79369674278877,8.974483762094748,9.138466380167053,10.29308371133162,10.072882361366249,8.128712958540651,7.973447429975192,7.836013178283608,8.231758087942323,7.984114120320024,6.371618102255125,6.305638659018229,6.428540441417653,6.4720495764836246,6.55385020035378,7.87980568144175,6.76307086700116,6.614785774222449,6.7098467735930365,6.293598719001484,5.997168088723472,6.315794091729556,8.336362867335446,7.97457139230739,8.081392374676511,8.607680642195438,8.793883963812036,9.102128008073397,9.377168220948745
SAOUHSC_00006,8.482467190574427,7.747430783672303,8.582758053530155,8.604951285754117,8.32524056668893,8.263461173748894,8.282059480712913,8.42335475676663,8.287791851692987,8.571125800285442,8.831843393266155,8.52927499443606,8.499098190035335,8.62463609792812,8.793832890164209,8.533754532792491,8.584610330744956,8.66621748339612,8.886665092584016,8.693995375896685,8.296840940326987,8.665792044710717,8.302838419932705,8.440802570196814,8.410104668889293,8.159919389999411,9.137932570017911,9.210931028077914,8.033497971126424,7.824548385443785,8.25400251767657,8.114641995686267,8.506470344378593,8.295610674217226,8.261163778202041,8.818641041185263,8.952103543079875,8.9863946308848,8.569014472620688,8.970231753446889,9.070125781043348,9.066563883857054,9.047592799408529,9.37725721212674,8.86288981825963,9.013634520815238,8.994755076184155,9.071436925132874,9.183636672680002,10.297025858167316,10.144197836982332,7.814516421664859,7.724316754502021,7.374901866661268,7.98534406557669,7.519942100555765,7.712080101309728,7.7066298885339695,7.550418733702759,7.576689130982265,7.810916763273181,8.344158693989755,7.767276579231526,8.029501879330663,7.963207001667885,7.531617008936426,7.178198291215735,7.402764084413631,8.201208760823038,8.197168071688594,8.337410549136708,8.744891685665747,8.905810784148526,9.16129570870475,9.406524307092475
SAOUHSC_00007,5.182243074884373,5.993871922729039,5.605624063470273,5.367196241434509,6.732134869649571,6.116294599969789,6.162852471890701,5.570749617642332,5.591099538652924,7.117887994811032,6.4238523468651705,6.981022213275992,6.651392235903473,6.546655497690863,6.532549916675309,6.840714863156687,6.718304787118197,6.393441378279462,6.9227855821354085,6.287693889801588,6.428086561603777,6.139294917758572,6.115917480116201,7.861073599035377,5.887937382528999,6.496867037101009,7.718987503246676,7.619799500009169,7.555508382869436,8.139054646433143,6.817853006650509,6.553394167290698,5.9739528466661564,6.520884763520303,6.4623124426002025,6.301135276898687,6.46205396568589,6.441975041931233,7.9231994228812,7.737053071615856,8.136662000361387,8.009632398221404,7.738781816264824,7.448290963661615,7.807342309411448,7.472156496908408,7.528321738528462,6.752132475365405,7.000011017540465,5.976243612911048,6.478285515554259,4.762749700354747,4.940003843131782,4.431177861239373,4.923770495609993,4.543198834633945,5.868796628918691,6.028372759724381,5.713516946696542,5.53533471237846,6.023552161268091,5.586863129225431,5.994420341237375,6.005683043029532,5.776466946543501,5.849620257611818,5.298476063456889,5.587366913435527,4.687825435020845,4.549709409491648,4.615606194979282,7.071926776878666,7.191118919773945,5.068064977489724,5.276323089378718
SAOUHSC_00008,4.725208139001754,4.148542763715655,4.679460253048355,4.6939201785034514,4.540830895355932,3.725520395991596,3.721997254567889,3.662627402293994,3.6336656473128106,2.8547752660738293,3.521706077535967,3.585827077876535,3.283589623257189,3.025448503202631,3.629208113282148,2.81792144380706,3.137966916469273,3.844435215184169,2.868473460850817,2.7812590330900253,2.892718876832709,5.939497868457272,5.849631135339168,5.077317817259905,5.9809741858754375,5.876683813635901,3.0656256968624604,3.2852011042223475,3.207363711305977,3.326678471739489,3.941473652662933,4.077387094033,3.6782726688926513,4.258600228987716,4.393134218867204,7.358034096507061,7.439987995964767,7.444568219336402,4.027146548770356,3.530927617262986,2.53569007754918,2.6809900765075483,2.703871976748502,2.86370244064077,2.473000535449829,2.6581981370416017,2.8500108636712587,2.4239274900333068,3.0821356054151003,2.434799444152004,3.228679728461591,2.051536269476176,2.952618979279632,3.201268116085848,2.261069323244078,2.847938570707179,3.339444324228958,3.5014700084422468,2.961796240529498,3.4936397629957026,3.571319224223639,2.895910671578478,3.538841946303167,3.1449229185902454,3.3549372609820978,3.52389228781273,3.6586540159635534,3.0627012751794087,5.225480940938159,5.105992976872164,5.110362294270364,6.571617386341647,6.223162100291227,4.508158204586227,4.486527587928639
SAOUHSC_00009,7.930033593224104,8.034982085916306,8.668242479202405,8.420917119429369,8.464111376691012,8.848501839343445,8.827677714892681,8.352155794441483,8.352122265812074,8.295080554969822,8.430677452638601,8.550635947457396,8.295275753901448,8.211742347664117,8.399923417518343,8.177430344649066,8.365830242366131,8.67294378988404,8.457092326827516,8.323068346996699,8.442811928958339,9.310420191192415,8.731687533098928,9.601154474156704,9.219301863026274,8.861532984021038,8.678559767910222,8.695575261677122,7.426778254900744,7.680591690348198,8.906514172793578,8.694783383673665,8.730376608437076,8.69943997448949,8.881744813534494,8.586837446503441,8.655180589776855,8.589982870697122,7.064595660567194,7.239045705564579,8.291200277338389,8.397274385107616,8.684663046039121,8.465912057750426,8.288539816873643,8.559601871508509,8.69103067749248,7.800666384975151,8.36735999319967,7.577537342146894,7.906813522250128,6.744950536499578,7.138369853902716,8.345988363024828,7.135774762437807,7.523277168866806,7.463233250287635,7.583113780062821,7.4302921743654675,7.273027169447286,7.591943359266777,7.0203814834282,7.556009893940065,7.667493274651127,7.706282218725182,7.501272093485312,7.149975975989133,7.243537096002506,8.255974097700333,8.206269627205032,7.949811275496229,8.874040610328032,8.95846212210436,7.908210745347165,8.038886216493857
SAOUHSC_00010,6.050733334113266,6.3148333522753095,6.179273888000652,6.223456602104559,5.985166051561124,6.480908322047113,6.869959758662201,6.019175605933408,6.492060045035633,6.889988392296745,6.683056726228776,6.468852997913321,6.9117080832535125,6.171363843210307,6.602486975978059,6.76836029533803,6.4523101193564,6.538025572091874,6.5687511966521415,6.39432317681413,6.56182704218572,8.197762881768368,8.580762745280103,8.071462143659055,8.427845951851422,8.58534337415408,5.49422606635892,5.472876195426307,4.866605261908978,4.889998761103239,7.328058426782628,7.168817883018794,7.1433653627549205,6.9004366101633146,7.067177587864427,4.622267137419524,4.557443897888902,4.510794375489497,4.428482461294347,3.755513008691689,4.396063172505153,4.566991646788291,4.116120944593548,4.146035957530862,4.046416264132076,4.9301452704083175,4.809165720692466,3.80985825397148,4.1323739884737485,3.7950889174688056,4.330362971360873,3.4998459631964,3.3087025749982373,2.183284310956141,2.6386135696199147,2.6142159429632046,5.996490847259977,6.056760329888401,6.181230999299581,5.73539757806621,6.22174986600319,6.336894256516552,6.251820078689251,6.320878672129806,5.996016978660013,6.040810196545444,5.495007075060573,5.796533511700143,4.148578629859652,3.4074781494002435,3.5703283372449977,3.7113089827418952,3.9429560333127576,2.8635991768601188,2.9047937620959874
