Geneid,ERX2826862,ERX2826863,ERX2826864,ERX2826865,ERX2826866,ERX2826867,ERX2826868,ERX2826869,ERX2826870,ERX4581838,ERX4581842,ERX4581846,ERX4581839,ERX4581843,ERX4581847,ERX4581840,ERX4581848,ERX4581844,ERX4581841,ERX4581845,ERX4581849,ERX4581850,ERX4581854,ERX4581858,ERX4581855,ERX4581851,ERX4581859,ERX4581852,ERX4581856,ERX4581860,ERX4581853,ERX4581857,ERX4581861,ERX7722950,ERX7722951,ERX7722952,ERX7722953,ERX7722954,ERX7722955,SRX10828563,SRX10828564,SRX10828565,SRX10828566,SRX13376825,SRX13376826,SRX13376836,SRX13376837,SRX13376838,SRX13376839,SRX13376840,SRX13376841,SRX13376842,SRX13376843,SRX13376844,SRX13376845,SRX17833718,SRX17833719,SRX2656779,SRX2656780,SRX2656781,SRX2656782,SRX2656783,SRX2656784,SRX322986,SRX322987,SRX322988,SRX3343295,SRX3343296,SRX3343297,SRX3343298,SRX3353470,SRX3353471,SRX3353472,SRX3353473,SRX3353474,SRX3353475,SRX3353476,SRX3353477,SRX4965408,SRX4965409,SRX4965411,SRX4965412,SRX5029493,SRX5029494,SRX5029495,SRX5029496,SRX5029497,SRX5029498,SRX5029499,SRX5029500,SRX529234,SRX529235,SRX529236,SRX529237,SRX529238,SRX529239,SRX529240,SRX529241,SRX5562272,SRX5562273,SRX5562274,SRX5562275,SRX9368291,SRX9368292,SRX9368293,SRX9368294,SRX9368295,SRX9368296,SRX9368297,SRX9368298,SRX9633997,SRX9633998,SRX9633999,SRX9634000,SRX9634001,SRX9634002,SRX9634003,SRX9634004,SRX9634005,SRX9634006,SRX9634007
SAOUHSC_00001,8.82944765240636,8.936379533054188,8.989139008912076,8.942718162304573,9.048430025314309,8.99527402533154,8.978759005789081,9.279350102297006,9.202811736888886,8.576047878139905,8.547181601361425,8.208979981019155,8.50263181102481,8.272871685992286,8.263048901389473,8.848564984307375,8.854707211871478,9.017345243933068,8.70373909788606,8.519674994251114,8.859309209834539,8.427281617775883,8.424597558237448,8.387832294494885,8.62041125933285,8.366924424723553,8.333769424205096,8.685120340879951,8.364990877326484,8.466042056917901,8.505464512529672,8.584244296618385,8.426827265851651,8.55521591364153,8.099699281798205,8.209798238139832,8.093495303718436,8.156868814651292,8.00260115078134,10.014630682593854,9.379739081636004,9.449135017264716,9.476362323540542,8.972127866772613,8.939417506622448,8.905583611345328,8.695933184417203,8.702983112654183,9.035334582309416,8.973406862549092,8.91677031605946,7.480133520617434,8.715468422307646,8.746010382725384,8.650500494335017,8.023787800491752,8.584244498047903,8.515866514138715,8.586180262345115,7.958053457945345,8.002962965730395,7.900287840835129,8.794756198504881,9.11883878076871,9.054562658164754,10.891910487161248,10.814283693343253,8.037676179387123,8.169385514026537,8.208122067246881,8.603638509067373,8.514994031282063,8.599236529396933,9.343330319263316,9.914596455903542,9.863170335880143,8.07862681779338,8.132360400796271,8.314946425904509,8.743272855596686,8.623581085071223,7.896448851826558,8.059031992736875,9.07052517314075,8.790067519944675,7.908868110307458,8.290177687453797,7.714665950147628,7.45676137115099,8.338209660594284,9.326972116220006,9.41310905797691,9.435754502037408,8.677970539971701,9.291598558725743,8.821825836832328,9.392038697030308,9.304430750507992,9.296167969059052,9.501123155290358,8.741548957444103,9.157859776710035,6.089421512556617,7.743175235544731,5.233818986474697,6.086933523411671,7.743825215075455,5.234443879882698,6.086518445579887,8.6441563160643,8.570178068577201,8.168952653355284,8.556411224317133,7.743584297900973,5.234459214456861,6.086907113273107,7.743653344964222,8.434535521267257,8.511854860158785,8.57555053489556,8.807802678264803
SAOUHSC_00002,8.962072659122848,9.160965967655237,9.290195771789293,8.992330865517362,8.878052334128395,9.09718251313636,9.355361723409068,9.156636987497455,9.211477389199183,8.68956543045888,7.871285911781026,7.564352990258827,8.565693591292098,7.896738371907924,8.732867469456941,9.07111578778076,9.050122480935595,8.094893679800885,8.146558827563936,8.144938284797771,8.978148002395145,8.580133890805095,9.267221706668415,9.03008045702698,8.886082420840307,8.812101859864297,8.895235235807148,8.636460718859237,8.882998044852405,8.990918314289802,9.272145473189155,8.969602261928229,8.847799364896598,8.69332702259269,8.727295227438535,9.123162662959407,8.71539685504005,8.60872919502082,8.659742353340116,9.491177932303131,9.300672993151249,9.481801962922988,9.51551947441204,8.831935725385483,8.53290840173251,8.43447095393061,8.667923795502405,8.24428235515012,9.018181176645545,8.636578481846168,8.938565425654657,8.900497215868247,9.78568398692498,9.844429475928342,9.749996825838965,8.351624710820554,9.059944168451937,8.958591616920437,9.035826319006032,8.316131109543742,8.392087496411403,8.263057517527743,8.968332403961668,9.258502366871772,9.255565984622407,11.23615850047075,11.149667546217406,8.386564503202381,8.66372404743099,8.677595088261372,9.132400104328788,8.993032472703428,9.138243197983307,9.993825725481154,10.352435496198389,10.338977231396331,8.47748902249245,8.538300431517778,8.187206326467367,8.576083274735321,8.409677787189759,7.696743211649641,8.125991824225295,8.963913744483477,8.592763960788762,7.701711562231909,8.508823015364674,7.686047077677927,7.623712315503544,8.154476113689032,9.575305131359386,9.490052382914678,9.484850892934489,8.96992268594196,9.38740959543551,9.232261905773054,9.430897692222528,9.45300461725991,9.56576808015159,9.46777937572802,8.987626714453354,9.350977242123422,8.74108297811782,9.50245705330537,8.206559190963217,8.739780398660628,9.50159963649501,8.207198967470728,8.73936010801022,8.913359398166234,8.84261740175457,8.72931494977013,8.919129622199108,9.501357923955402,8.207214667185807,8.739753656891525,9.50142719898458,8.908344735429493,9.024092289215114,9.102541988985088,9.310109490799215
SAOUHSC_00003,8.747959514189253,8.976710637773873,8.626190572890495,8.742655701823722,8.693439645496872,8.9467749349404,9.106250286394989,9.093577613339832,8.842112526684218,9.061240273264543,8.736153914091272,8.80026476685961,9.26534355734034,9.06970510874863,8.798457478386625,8.67362481552463,8.65896103857188,8.295707801450792,7.896399586246074,8.335938428911861,8.543261199228295,8.267414106988443,9.059971929348842,8.82063271640344,9.282683645835194,8.550306473203722,8.971815960197514,8.34532830348991,8.892814301421463,9.088040241219376,9.394095255837636,9.070515385324002,8.963865573340385,9.26610692430476,9.05343837389667,8.72064130599415,8.981313547655859,8.964033445579302,9.188735756151855,7.378229595921412,8.607969338166217,8.41514990453547,8.533791347530336,9.118447653341216,9.146787640218443,8.655663019052552,8.445114519107277,8.180291173779233,8.745852068953624,8.503749783808118,8.442566034144047,9.713963489430554,9.098096240901867,9.10163156901088,9.190082304033949,9.32359637306905,8.394451090764349,8.240488978416014,8.768541996985961,8.364651959786347,8.190216548405603,8.291449072599905,8.89191861197493,8.988500760942015,8.953970479151584,11.503021974877896,11.306632604375451,7.821470328271832,8.059747527123198,8.049247383896803,8.060222267989241,8.345856275606584,8.13280819675705,9.929083328877558,9.8753941071314,9.787929325185685,7.776450770487754,8.001152813735308,8.314852241007133,8.27940111845249,8.088479960366964,7.75715686112064,8.365852878058258,8.413831087228115,8.284972395203429,8.07077494418113,8.269051849607084,8.104327633428117,7.933419967451611,8.351311639754377,8.618735934055525,8.531060609080376,8.498207325627908,8.302990163538523,8.62099528474458,7.553073236990782,8.641905535745412,8.894682994305994,8.628255046317763,8.497916590446216,7.9894583980642,8.181355821255488,8.132487076569658,8.69345763458098,8.060393340355233,8.13319447002816,8.695825251617544,8.061032885207858,8.132774694495216,8.239498257400264,8.022963942973213,7.954930163020493,7.806981199890346,8.695583788893126,8.06104857923956,8.133167761029894,8.695652992320777,8.490745802145822,8.527418031689093,8.931365907971854,9.102894806118032
SAOUHSC_00004,8.412643885494898,8.39142250019956,8.60593135667115,8.362605172290053,8.446659150193879,8.519864626266669,8.576293024917014,8.79993755374559,8.664801219969759,8.823596245123367,9.231359033624152,8.78466091422168,8.936725097326558,9.33841106915414,8.713377643724769,8.549768442250937,8.499229269891982,9.109602220914008,8.675876388937906,8.526049618777261,8.687098019577205,8.802481423104528,8.958721225531184,8.550955628136933,8.887052206519527,8.97463427014103,9.013075820939711,8.842306439771335,8.744589988381355,8.825296048008394,9.052420830591789,8.960303837115065,8.529842065404077,8.986438421265392,8.779853396511495,8.82688301835973,8.826996720903729,8.850450254871715,8.695287234291634,9.91940352037428,8.857492619210205,8.76902499408696,8.951087726405436,8.667531108885933,8.686171892651245,8.645370333657292,8.480284894809815,8.366640930398239,8.727370720205787,8.69820093937673,8.72353852597733,9.79553713558929,9.404182862355697,9.592026673856656,9.516741583711951,8.534869791233255,8.264518436754486,8.080241360628618,8.551168820185303,8.576174092152685,8.654019873271237,8.666792974664277,9.113738059606243,9.291589538150337,9.247291611804975,11.60431314204566,11.437551192045158,8.368179094457131,8.527747345939861,8.403260136025086,8.684085655816007,8.781036945208818,8.826279790124023,9.91962201524053,10.193188772248288,9.95398273170412,8.474735636790193,8.419569488868762,8.773653528429023,8.603127404538574,8.306484391132306,8.162936790641513,8.83329862448715,8.731632067623947,8.642921284441748,8.419162023227585,8.097791146123793,7.887467502942458,7.813511136435866,8.294833734698157,8.598385642785917,8.490112374567582,8.608258349771855,8.28238902006614,8.626801767645828,9.230630699601862,8.814599348896131,8.884135164086803,8.642021963008936,8.524059476390779,8.063425319792966,8.442029191474425,6.466650525995177,7.634609052278624,6.153760541874382,6.464207460349631,7.6350571966011636,6.154393476560396,6.463790956211547,7.7230838730917215,7.840488512827672,7.666905659075277,7.569949177435605,7.634816367859185,6.154409008419188,6.464180959471808,7.634885389576095,8.367421223111165,8.496620642166691,8.752904951030509,9.03822696681078
SAOUHSC_00005,8.949354266969756,8.885628032978,9.152408915946062,8.849877187339853,9.015740071442748,9.046537179923456,9.09443618695698,9.36108360579114,9.272455781856454,8.998235236762843,9.830493386652492,9.291133040793053,9.352144569092872,9.89700812513589,8.955434846228828,8.959913298911031,8.879248326647476,9.553208890077862,9.444958188171151,9.268588126947249,9.017316691564954,9.233012226752525,9.156143795875757,8.975907009089065,9.227866549420412,9.398415517227656,9.493041516680474,9.305082298716224,9.127481487464363,9.470010890027575,9.12772775931636,9.424337904698245,9.136875075298729,9.452366997159498,9.017044623047452,9.383282121101663,9.32981425155236,9.370046644592556,9.086521713053315,9.240968109625948,9.067428616696304,9.02011853124684,9.213433169591257,7.64960296921247,7.805710673232726,9.164286509835678,9.102374969406505,8.985688049233392,9.34456410510787,9.274773056882609,9.24102300640935,9.001210145180915,8.85557975556662,8.90096460815792,9.136858065377853,9.00304816953939,9.091304929310937,8.95114828718032,9.005854326062154,8.935341797679524,8.99224792652874,8.94066481538009,9.43151822847628,9.53696116606105,9.52441754068798,11.837630688499903,11.66849967592153,8.683316061326607,8.76358620039656,8.79369674278877,8.974483762094748,9.138466380167053,9.118643272640748,10.117267662452528,10.29308371133162,10.072882361366249,8.792323574773167,8.795515906910184,8.155536061409062,8.128712958540651,7.973447429975192,7.836013178283608,8.873481388233927,8.394160588444926,8.231758087942323,7.984114120320024,7.545016653312821,7.33883100945158,7.328853919176104,7.364374983131839,6.371618102255125,6.305638659018229,6.428540441417653,6.4720495764836246,6.55385020035378,7.87980568144175,6.76307086700116,6.614785774222449,6.7098467735930365,6.293598719001484,5.997168088723472,6.315794091729556,6.35664349033911,8.89145801749869,6.272309201471373,6.355533723503996,8.888625724558125,6.272942847274332,6.355117592717751,7.875492540182534,8.336362867335446,7.97457139230739,8.081392374676511,8.888384188809287,6.272958396579605,6.355507246378194,8.88845341316705,8.607680642195438,8.793883963812036,9.102128008073397,9.377168220948745
SAOUHSC_00006,8.32668783767737,8.411974594961134,8.535950422293032,8.14477367352764,8.290501258168424,8.31541698708169,8.603094380210203,8.417476551895755,8.332316652770245,8.275980935710646,8.482467190574427,7.747430783672303,8.582758053530155,8.604951285754117,8.32524056668893,8.263461173748894,8.282059480712913,8.183695114193956,8.42335475676663,8.287791851692987,8.491059271456535,8.571125800285442,8.831843393266155,8.52927499443606,8.499098190035335,8.62463609792812,8.793832890164209,8.533754532792491,8.584610330744956,8.66621748339612,8.886665092584016,8.693995375896685,8.296840940326987,8.665792044710717,8.302838419932705,8.79021691120283,8.440802570196814,8.410104668889293,8.159919389999411,7.793844360238693,9.11165062772032,9.137932570017911,9.210931028077914,8.033497971126424,7.824548385443785,8.22194454510137,8.25400251767657,8.114641995686267,8.506470344378593,8.295610674217226,8.261163778202041,9.388131805257954,8.818641041185263,8.952103543079875,8.9863946308848,8.749565130113021,8.715636901820407,8.569014472620688,8.970231753446889,9.070125781043348,9.066563883857054,9.047592799408529,9.37725721212674,9.566202514784113,9.450839892813605,11.829920679339503,11.620685086765448,8.86288981825963,9.013634520815238,8.994755076184155,9.071436925132874,9.183636672680002,9.15328526190172,10.059534195385837,10.297025858167316,10.144197836982332,8.906220820025279,8.940508538257552,7.741469912809224,7.814516421664859,7.724316754502021,7.374901866661268,8.588943675062334,8.067901853133462,7.98534406557669,7.519942100555765,7.386092004697806,6.724967085397502,6.617819819097214,7.003054239187264,7.712080101309728,7.7066298885339695,7.550418733702759,7.576689130982265,7.810916763273181,8.344158693989755,7.767276579231526,8.029501879330663,7.963207001667885,7.531617008936426,7.178198291215735,7.402764084413631,6.837755649020131,8.902373122978354,6.51596375625167,6.834802551271631,8.901619800709057,6.516598692368725,6.83438496608013,7.974396763609882,8.201208760823038,8.197168071688594,8.337410549136708,8.901378260380817,6.516614273330429,6.83504161875501,8.901447486051119,8.744891685665747,8.905810784148526,9.16129570870475,9.406524307092475
SAOUHSC_00007,6.931378124048754,6.979802936752109,6.681139977354157,5.976547970253156,6.156091571871477,5.9924282135006655,6.437633096259,6.609461018042461,6.383613356995594,6.049819070267586,5.182243074884373,5.993871922729039,5.605624063470273,5.367196241434509,6.732134869649571,6.116294599969789,6.162852471890701,5.482603183909142,5.570749617642332,5.591099538652924,6.048538727708943,7.117887994811032,6.4238523468651705,6.981022213275992,6.651392235903473,6.546655497690863,6.532549916675309,6.840714863156687,6.718304787118197,6.393441378279462,6.9227855821354085,6.287693889801588,6.428086561603777,6.139294917758572,6.115917480116201,8.284589832259984,7.861073599035377,5.887937382528999,6.496867037101009,5.623254438895725,7.255359207281635,7.718987503246676,7.619799500009169,7.555508382869436,8.139054646433143,6.399213758611031,6.817853006650509,6.553394167290698,5.9739528466661564,6.520884763520303,6.4623124426002025,7.536539026166766,6.301135276898687,6.46205396568589,6.441975041931233,6.471157626788463,8.25702825208098,7.9231994228812,7.737053071615856,8.136662000361387,8.009632398221404,7.738781816264824,7.448290963661615,7.024537069174505,7.036474954562475,7.222882583302209,7.112788289268754,7.807342309411448,7.472156496908408,7.528321738528462,6.752132475365405,7.000011017540465,7.020777945550176,5.997220433507115,5.976243612911048,6.478285515554259,7.80644135396445,7.483645178149405,4.729854106917539,4.762749700354747,4.940003843131782,4.431177861239373,5.358467873453055,4.920167878058462,4.923770495609993,4.543198834633945,6.094374049391192,5.15734210747389,5.337014656306582,6.689423433070497,5.868796628918691,6.028372759724381,5.713516946696542,5.53533471237846,6.023552161268091,5.586863129225431,5.994420341237375,6.005683043029532,5.776466946543501,5.849620257611818,5.298476063456889,5.587366913435527,4.786238439915382,7.707313996302176,4.503236328857424,4.784658154173965,7.706056033648404,4.503849977163865,4.784252164240774,4.800526905920094,4.687825435020845,4.549709409491648,4.615606194979282,7.705815146429068,4.503865035848939,4.784632322194537,7.705884184906636,7.071926776878666,7.191118919773945,5.068064977489724,5.276323089378718
SAOUHSC_00008,4.117719581216702,4.394077255226055,4.407844826320453,3.696453208810272,3.346700221306246,3.375892190272148,4.226804056106553,3.3448111248883245,4.150258183063916,4.165861972426158,4.725208139001754,4.148542763715655,4.679460253048355,4.6939201785034514,4.540830895355932,3.725520395991596,3.721997254567889,4.027124768281206,3.662627402293994,3.6336656473128106,4.308011655832047,2.8547752660738293,3.521706077535967,3.585827077876535,3.283589623257189,3.025448503202631,3.629208113282148,2.81792144380706,3.137966916469273,3.844435215184169,2.868473460850817,2.7812590330900253,2.892718876832709,5.939497868457272,5.849631135339168,4.658165715699266,5.077317817259905,5.9809741858754375,5.876683813635901,7.031036177056774,3.4278544290322985,3.0656256968624604,3.2852011042223475,3.207363711305977,3.326678471739489,3.4931318280997155,3.941473652662933,4.077387094033,3.6782726688926513,4.258600228987716,4.393134218867204,8.384143730540364,7.358034096507061,7.439987995964767,7.444568219336402,3.338600908983544,3.807078301819396,4.027146548770356,3.530927617262986,2.53569007754918,2.6809900765075483,2.703871976748502,2.86370244064077,2.5012126377087944,2.186168104207751,4.111395284801503,4.223904171507287,2.473000535449829,2.6581981370416017,2.8500108636712587,2.4239274900333068,3.0821356054151003,2.7244156258903955,2.816985977496555,2.434799444152004,3.228679728461591,2.862728910333705,2.9663664038872324,2.085911956041405,2.051536269476176,2.952618979279632,3.201268116085848,5.460620133549364,2.407386477349084,2.261069323244078,2.847938570707179,2.922367865383708,5.525167749590052,5.372158431428957,4.420768286723058,3.339444324228958,3.5014700084422468,2.961796240529498,3.4936397629957026,3.571319224223639,2.895910671578478,3.538841946303167,3.1449229185902454,3.3549372609820978,3.52389228781273,3.6586540159635534,3.0627012751794087,1.9720770401102807,3.5839589852112352,2.850675311239552,1.984394991798146,3.582550770293331,2.8512282831931035,1.984080191611905,5.030242820190671,5.225480940938159,5.105992976872164,5.110362294270364,3.582328929653982,2.8512418531969805,1.984374961369032,3.582392509066461,6.571617386341647,6.223162100291227,4.508158204586227,4.486527587928639
SAOUHSC_00009,8.692388038107262,8.707586947933125,8.779225562979097,7.826818746037002,7.9294067239144175,7.924192577497066,8.916981889809884,8.889463265150109,8.993021018533451,8.452985635366737,7.930033593224104,8.034982085916306,8.668242479202405,8.420917119429369,8.464111376691012,8.848501839343445,8.827677714892681,8.278128032428972,8.352155794441483,8.352122265812074,8.472647557062237,8.295080554969822,8.430677452638601,8.550635947457396,8.295275753901448,8.211742347664117,8.399923417518343,8.177430344649066,8.365830242366131,8.67294378988404,8.457092326827516,8.323068346996699,8.442811928958339,9.310420191192415,8.731687533098928,9.37227129657748,9.601154474156704,9.219301863026274,8.861532984021038,6.842869807771875,8.331557606710463,8.678559767910222,8.695575261677122,7.426778254900744,7.680591690348198,8.75545546488342,8.906514172793578,8.694783383673665,8.730376608437076,8.69943997448949,8.881744813534494,9.778541238363657,8.586837446503441,8.655180589776855,8.589982870697122,8.35331520912394,6.986028609246673,7.064595660567194,7.239045705564579,8.291200277338389,8.397274385107616,8.684663046039121,8.465912057750426,8.355364011369895,8.448165905521368,8.647068169605149,8.45831588731176,8.288539816873643,8.559601871508509,8.69103067749248,7.800666384975151,8.36735999319967,8.360070994872288,7.721732737388647,7.577537342146894,7.906813522250128,8.412470418369237,8.462429372869668,6.921515569397069,6.744950536499578,7.138369853902716,8.345988363024828,8.514195386577809,7.124896302713089,7.135774762437807,7.523277168866806,7.751934909563558,9.274164089389354,9.113419960556444,10.661114294382736,7.463233250287635,7.583113780062821,7.4302921743654675,7.273027169447286,7.591943359266777,7.0203814834282,7.556009893940065,7.667493274651127,7.706282218725182,7.501272093485312,7.149975975989133,7.243537096002506,7.709743512278519,7.686261110496219,8.003537155259348,7.710211387555639,7.68563219619461,8.004176603468272,7.709792123307034,7.765148362841948,8.255974097700333,8.206269627205032,7.949811275496229,7.685391325503313,8.004192295128938,7.710184711084363,7.685460359243649,8.874040610328032,8.95846212210436,7.908210745347165,8.038886216493857
SAOUHSC_00010,6.8191949895559,6.68244189873908,6.771731454001059,6.566105477685502,6.840566613286367,6.618220583332116,6.994829398432971,7.564593921709197,7.687657225906805,6.565764860036074,6.050733334113266,6.3148333522753095,6.179273888000652,6.223456602104559,5.985166051561124,6.480908322047113,6.869959758662201,6.913258197768721,6.019175605933408,6.492060045035633,6.937566996995369,6.889988392296745,6.683056726228776,6.468852997913321,6.9117080832535125,6.171363843210307,6.602486975978059,6.76836029533803,6.4523101193564,6.538025572091874,6.5687511966521415,6.39432317681413,6.56182704218572,8.197762881768368,8.580762745280103,8.4165676267268,8.071462143659055,8.427845951851422,8.58534337415408,3.871652920820913,5.375726348924398,5.49422606635892,5.472876195426307,4.866605261908978,4.889998761103239,7.44053362190459,7.328058426782628,7.168817883018794,7.1433653627549205,6.9004366101633146,7.067177587864427,6.468577247801052,4.622267137419524,4.557443897888902,4.510794375489497,3.5381560563801124,4.82497180638261,4.428482461294347,3.755513008691689,4.396063172505153,4.566991646788291,4.116120944593548,4.146035957530862,4.338137197774296,4.271020050967846,5.772470373208477,5.346340503970416,4.046416264132076,4.9301452704083175,4.809165720692466,3.80985825397148,4.1323739884737485,4.164720230203983,5.022811516971,3.7950889174688056,4.330362971360873,3.873473404101045,4.13882198792783,3.947028210069484,3.4998459631964,3.3087025749982373,2.183284310956141,3.0727153473971924,3.251133315103996,2.6386135696199147,2.6142159429632046,6.490607756036072,4.658819804624727,5.122090364569748,5.430942620012904,5.996490847259977,6.056760329888401,6.181230999299581,5.73539757806621,6.22174986600319,6.336894256516552,6.251820078689251,6.320878672129806,5.996016978660013,6.040810196545444,5.495007075060573,5.796533511700143,1.4709536799228111,4.777229000912393,2.055122647070189,1.4699056782067952,4.775748659066111,2.0556101512601783,1.4696364993669122,4.33566898881146,4.148578629859652,3.4074781494002435,3.5703283372449977,4.775515449289666,2.0556221149546863,1.469888550365927,4.775582287278837,3.7113089827418952,3.9429560333127576,2.8635991768601188,2.9047937620959874
